"","Species","Oxygen","Gram","Motility","MedianGC","antimicrobial_susceptibility","optimal_temp","optimal_ph","pathogenicity"
"24","Acetobacterghanensis",NA,NA,NA,NA,NA,NA,NA,NA
"25","Acetobactermalorum",NA,NA,NA,NA,NA,NA,NA,NA
"26","Acetobacterorientalis",NA,NA,NA,NA,NA,NA,NA,NA
"27","Acetobactersyzygii",NA,NA,NA,NA,NA,NA,NA,NA
"28","AcetonemalongumDSM6540","Anaerobe","Gram-","0",4347,NA,NA,NA,NA
"29","Acholeplasmapleciae",NA,NA,NA,NA,NA,NA,NA,NA
"30","Acholeplasmavituli",NA,NA,NA,NA,NA,NA,NA,NA
"31","Achromobacteraestuarii",NA,NA,NA,NA,NA,NA,NA,NA
"32","Achromobacteragilis",NA,NA,NA,NA,NA,NA,NA,NA
"33","Achromobacteranimicus",NA,NA,NA,NA,NA,NA,NA,NA
"34","Achromobacterdeleyi",NA,NA,NA,NA,NA,NA,NA,NA
"35","Achromobacterdolens",NA,NA,NA,NA,NA,NA,NA,NA
"36","Achromobacterkerstersii",NA,NA,NA,NA,NA,NA,NA,NA
"37","Achromobactermucicolens",NA,NA,NA,NA,NA,NA,NA,NA
"38","Achromobacterpestifer",NA,NA,NA,NA,NA,NA,NA,NA
"39","Achromobacterveterisilvae",NA,NA,NA,NA,NA,NA,NA,NA
"40","Acidaminobacterhydrogenoformans",NA,NA,NA,NA,NA,NA,NA,NA
"41","Acidaminococcusfermentans",NA,NA,NA,NA,NA,NA,NA,NA
"42","AcidaminococcusfermentansDSM20731","Anaerobe","Gram-","0",NA,NA,NA,NA,NA
"43","Acidaminococcusintestini",NA,NA,NA,NA,NA,NA,NA,NA
"44","Acidaminococcusmassiliensis","","Gram-","",NA,NA,NA,NA,NA
"45","Acidaminococcusprovencensis",NA,NA,NA,NA,NA,NA,NA,NA
"46","Acidaminococcustimonensis",NA,NA,NA,NA,NA,NA,NA,NA
"47","Acidibacterferrireducens",NA,NA,NA,NA,NA,NA,NA,NA
"48","Acidiferrimicrobiumaustrale",NA,NA,NA,NA,NA,NA,NA,NA
"49","Acidihalobacterferrooxydans",NA,NA,NA,NA,NA,NA,NA,NA
"50","Acidilutibactercellobiosedens",NA,NA,NA,NA,NA,NA,NA,NA
"51","Acidipropionibacteriumvirtanenii",NA,NA,NA,NA,NA,NA,NA,NA
"52","Acidithiobacilluscaldus",NA,NA,NA,NA,NA,NA,NA,NA
"53","Acidovoraxantarcticus",NA,NA,NA,NA,NA,NA,NA,NA
"54","Acidovoraxanthurii",NA,NA,NA,NA,NA,NA,NA,NA
"55","Acidovoraxavenae",NA,NA,NA,NA,NA,NA,NA,NA
"56","Acidovoraxcaeni","Anaerobe","Gram-","Motile",3952,NA,NA,NA,NA
"57","Acidovoraxcarolinensis",NA,NA,NA,NA,NA,NA,NA,NA
"58","Acidovoraxcattleyae",NA,NA,NA,NA,NA,NA,NA,NA
"59","Acidovoraxcavernicola",NA,NA,NA,NA,NA,NA,NA,NA
"60","Acidovoraxdefluvii",NA,NA,NA,NA,NA,NA,NA,NA
"61","Acidovoraxdelafieldii",NA,NA,NA,NA,NA,NA,NA,NA
"62","Acidovoraxfacilis",NA,NA,NA,NA,NA,NA,NA,NA
"63","AcidovoraxradicisN35",NA,NA,NA,NA,NA,NA,NA,NA
"64","Acidovoraxsoli",NA,NA,NA,NA,NA,NA,NA,NA
"65","Acidovoraxtemperans",NA,NA,NA,NA,NA,NA,NA,NA
"66","Acidovoraxvalerianellae",NA,NA,NA,NA,NA,NA,NA,NA
"67","Acidovoraxwautersii",NA,NA,NA,NA,NA,NA,NA,NA
"68","Acinetobacterbaumannii","Aerobe","Gram-","Nonmotile",3624,NA,NA,NA,2
"69","Acinetobactercalcoaceticus",NA,NA,NA,NA,NA,NA,NA,NA
"70","Acinetobacterchinensis",NA,NA,NA,NA,NA,NA,NA,NA
"71","Acinetobactercourvalinii",NA,NA,NA,NA,NA,NA,NA,NA
"72","Acinetobacterdispersus",NA,NA,NA,NA,NA,NA,NA,NA
"73","Acinetobactergandensis",NA,NA,NA,NA,NA,NA,NA,NA
"74","Acinetobactergeminorum",NA,NA,NA,NA,NA,NA,NA,NA
"75","Acinetobacterguerrae",NA,NA,NA,NA,NA,NA,NA,NA
"76","Acinetobacterhaemolyticus",NA,NA,NA,NA,NA,NA,NA,NA
"77","Acinetobacterjohnsonii",NA,NA,NA,NA,NA,NA,NA,NA
"78","Acinetobacterkanungonis",NA,NA,NA,NA,NA,NA,NA,NA
"79","Acinetobacterlactucae",NA,NA,NA,NA,NA,NA,NA,NA
"80","Acinetobacterlwoffii","Aerobe","Gram-","0",NA,1,37,NA,2
"81","Acinetobactermodestus",NA,NA,NA,NA,NA,NA,NA,NA
"82","Acinetobacteroryzae",NA,NA,NA,NA,NA,NA,NA,NA
"83","Acinetobacterpiscicola",NA,NA,NA,NA,NA,NA,NA,NA
"84","AcinetobacterpittiiDSM21653",NA,NA,NA,NA,NA,NA,NA,NA
"85","Acinetobacterpopuli",NA,NA,NA,NA,NA,NA,NA,NA
"86","Acinetobacterproteolyticus",NA,NA,NA,NA,NA,NA,NA,NA
"87","Acinetobacterpseudolwoffii",NA,NA,NA,NA,NA,NA,NA,NA
"88","Acinetobacterradioresistens",NA,NA,NA,NA,NA,NA,NA,NA
"89","Acinetobacterrefrigeratoris",NA,NA,NA,NA,NA,NA,NA,NA
"90","Acinetobacterschindleri",NA,NA,NA,NA,NA,NA,NA,NA
"91","Acinetobacterseohaensis",NA,NA,NA,NA,NA,NA,NA,NA
"92","Acinetobactersepticus",NA,NA,NA,NA,NA,NA,NA,NA
"93","Acinetobactertandoii",NA,NA,NA,NA,NA,NA,NA,NA
"94","Acinetobactertjernbergiae",NA,NA,NA,NA,NA,NA,NA,NA
"95","Acinetobacterursingii",NA,NA,NA,NA,NA,NA,NA,NA
"96","Acinetobactervariabilis",NA,NA,NA,NA,NA,NA,NA,NA
"97","AcinetobactervenetianusRAG1CIP110063",NA,NA,NA,NA,NA,NA,NA,NA
"98","Acinetobactervivianii",NA,NA,NA,NA,NA,NA,NA,NA
"99","Actimicrobiumantarcticum",NA,NA,NA,NA,NA,NA,NA,NA
"100","Actinobacillusporcinus",NA,NA,NA,NA,NA,NA,NA,NA
"101","Actinobaculumsuis",NA,NA,NA,NA,NA,NA,NA,NA
"102","Actinocoralliaaurantiaca",NA,NA,NA,NA,NA,NA,NA,NA
"103","Actinocoralliacavernae",NA,NA,NA,NA,NA,NA,NA,NA
"104","Actinocorallialongicatena",NA,NA,NA,NA,NA,NA,NA,NA
"105","Actinomaduraalgeriensis",NA,NA,NA,NA,NA,NA,NA,NA
"106","Actinomadurabarringtoniae",NA,NA,NA,NA,NA,NA,NA,NA
"107","Actinomaduradecatromicini",NA,NA,NA,NA,NA,NA,NA,NA
"108","Actinomadurafulvescens",NA,NA,NA,NA,NA,NA,NA,NA
"109","Actinomaduralepetitiana",NA,NA,NA,NA,NA,NA,NA,NA
"110","Actinomadurasoli",NA,NA,NA,NA,NA,NA,NA,NA
"111","Actinomadurasyzygii",NA,NA,NA,NA,NA,NA,NA,NA
"112","Actinomarinicolatropica",NA,NA,NA,NA,NA,NA,NA,NA
"113","Actinomycesbouchesdurhonensis",NA,NA,NA,NA,NA,NA,NA,NA
"114","Actinomycesbowdenii","Facultative anaerobe","Gram+","0",NA,NA,NA,NA,NA
"115","Actinomycesculturomici",NA,NA,NA,NA,NA,NA,NA,NA
"116","Actinomycesdentalis",NA,NA,NA,NA,NA,NA,NA,NA
"117","Actinomycesfaecalis",NA,NA,NA,NA,NA,NA,NA,NA
"118","Actinomycesgaoshouyii",NA,NA,NA,NA,NA,NA,NA,NA
"119","Actinomycesgerencseriae",NA,NA,NA,NA,NA,NA,NA,NA
"120","Actinomycesgraevenitzii",NA,NA,NA,NA,NA,NA,NA,NA
"121","Actinomyceshaliotis",NA,NA,NA,NA,NA,NA,NA,NA
"122","Actinomycesihuae","","Gram+","",NA,NA,NA,NA,NA
"123","Actinomycesisraelii",NA,NA,NA,NA,NA,NA,NA,NA
"124","Actinomycesjohnsonii",NA,NA,NA,NA,NA,NA,NA,NA
"125","Actinomycesmarseillensis",NA,NA,NA,NA,NA,NA,NA,NA
"126","Actinomycesmassiliensis4401292","Facultative anaerobe","Gram+","Nonmotile",2873,NA,NA,NA,NA
"127","Actinomycesnaeslundii","Facultative anaerobe","Gram+","0",NA,NA,37,NA,2
"128","Actinomycesoralis",NA,NA,NA,NA,NA,NA,NA,NA
"129","Actinomycesoris","Facultative anaerobe","Gram+","0",2531,NA,37,NA,NA
"130","Actinomycespacaensis",NA,NA,NA,NA,NA,NA,NA,NA
"131","Actinomycespolynesiensis","","Gram+","",NA,NA,NA,NA,NA
"132","Actinomycesprovencensis",NA,NA,NA,NA,NA,NA,NA,NA
"133","Actinomycesradicidentis",NA,NA,NA,NA,NA,NA,NA,NA
"134","Actinomycesurinae",NA,NA,NA,NA,NA,NA,NA,NA
"135","Actinomycesviscosus",NA,NA,NA,NA,NA,NA,NA,NA
"136","Actinomycesvulturis",NA,NA,NA,NA,NA,NA,NA,NA
"137","Actinotignumsanguinis",NA,NA,NA,NA,NA,NA,NA,NA
"138","Actinotignumschaalii",NA,NA,NA,NA,NA,NA,NA,NA
"139","Actinotignumtimonense",NA,NA,NA,NA,NA,NA,NA,NA
"140","Actinotignumurinale",NA,NA,NA,NA,NA,NA,NA,NA
"141","Acutalibactermuris","Anaerobe","Gram+","0",3883,NA,NA,NA,NA
"142","AdlercreutziacaecimurisB7","Anaerobe","Gram+","0",2513,NA,NA,NA,NA
"143","Adlercreutziaequolifaciens","0","Gram+","0",NA,NA,NA,NA,NA
"144","Adlercreutziaequolifacienssubspcelatus",NA,NA,NA,NA,NA,NA,NA,NA
"145","AdlercreutziaequolifacienssubspcelatusDSM18785",NA,NA,NA,NA,NA,NA,NA,NA
"146","Adlercreutziahattorii",NA,NA,NA,NA,NA,NA,NA,NA
"147","Adlercreutziamucosicola",NA,NA,NA,NA,NA,NA,NA,NA
"148","Adlercreutziamuris","0","Gram+","",NA,NA,NA,NA,NA
"149","Advenellaincenata",NA,NA,NA,NA,NA,NA,NA,NA
"150","Advenellakashmirensis",NA,NA,NA,NA,NA,NA,NA,NA
"151","Advenellakashmirensissubspmethylica",NA,NA,NA,NA,NA,NA,NA,NA
"152","AequorivitasublithincolaDSM14238",NA,NA,NA,NA,NA,NA,NA,NA
"153","Aeribacilluscomposti",NA,NA,NA,NA,NA,NA,NA,NA
"154","Aeriscardoviaaeriphila",NA,NA,NA,NA,NA,NA,NA,NA
"155","Aerococcuschristensenii",NA,NA,NA,NA,NA,NA,NA,NA
"156","Aerococcussanguinicola",NA,NA,NA,NA,NA,NA,NA,NA
"157","Aerococcusurinae",NA,NA,NA,NA,NA,NA,NA,NA
"158","Aerococcusurinaeequi",NA,NA,NA,NA,NA,NA,NA,NA
"159","Aerococcusurinaehominis",NA,NA,NA,NA,NA,NA,NA,NA
"160","Aerococcusviridans",NA,NA,NA,NA,NA,NA,NA,NA
"161","Aeromicrobiumchoanae",NA,NA,NA,NA,NA,NA,NA,NA
"162","Aeromicrobiumphoceense",NA,NA,NA,NA,NA,NA,NA,NA
"163","Aeromicrobiumtamlense",NA,NA,NA,NA,NA,NA,NA,NA
"164","Aeromonasaquatica",NA,NA,NA,NA,NA,NA,NA,NA
"165","Aeromonasaquatilis",NA,NA,NA,NA,NA,NA,NA,NA
"166","Aeromonascrassostreae",NA,NA,NA,NA,NA,NA,NA,NA
"167","Aeromonasdiversa",NA,NA,NA,NA,NA,NA,NA,NA
"168","AeromonasdiversaCDC247885",NA,NA,NA,NA,NA,NA,NA,NA
"169","Aeromonasencheleia",NA,NA,NA,NA,NA,NA,NA,NA
"170","Aeromonasenteropelogenes",NA,NA,NA,NA,NA,NA,NA,NA
"171","Aeromonasfinlandensis",NA,NA,NA,NA,NA,NA,NA,NA
"172","Aeromonashydrophila","Facultative anaerobe","Gram-","0",4672,1,28,7.25,2
"173","Aeromonaslacus",NA,NA,NA,NA,NA,NA,NA,NA
"174","Aeromonasveronii","Facultative anaerobe","Gram-","0",4655.5,1,37,7.94,2
"175","Aeromonasveroniibvveronii",NA,NA,NA,NA,NA,NA,NA,NA
"176","Aestuariicellahydrocarbonica",NA,NA,NA,NA,NA,NA,NA,NA
"177","Aestuariispiraectoiniformans",NA,NA,NA,NA,NA,NA,NA,NA
"178","Aestuariispirainsulae",NA,NA,NA,NA,NA,NA,NA,NA
"179","Affinibrenneriasalicis",NA,NA,NA,NA,NA,NA,NA,NA
"180","Affixifilumgranulosum",NA,NA,NA,NA,NA,NA,NA,NA
"181","Afipiabirgiae34632","0","Gram-","0",5198,NA,NA,NA,NA
"182","AfipiaclevelandensisATCC49720",NA,NA,NA,NA,NA,NA,NA,NA
"183","Afipiafelis",NA,NA,NA,NA,NA,NA,NA,NA
"184","AfipiafelisATCC53690",NA,NA,NA,NA,NA,NA,NA,NA
"185","Agarilyticarhodophyticola",NA,NA,NA,NA,NA,NA,NA,NA
"186","Agathobacterruminis",NA,NA,NA,NA,NA,NA,NA,NA
"187","Agathobaculumbutyriciproducens",NA,NA,NA,NA,NA,NA,NA,NA
"188","Agathobaculumdesmolans",NA,NA,NA,NA,NA,NA,NA,NA
"189","AggregatibacteraphrophilusATCC33389","Facultative anaerobic","Gram-","Nonmotile",2345,NA,NA,NA,NA
"190","Aggregatibacterkilianii",NA,NA,NA,NA,NA,NA,NA,NA
"191","Aggregatimonassangjinii",NA,NA,NA,NA,NA,NA,NA,NA
"192","Agrilactobacilluscomposti",NA,NA,NA,NA,NA,NA,NA,NA
"193","Agrilactobacillusyilanensis",NA,NA,NA,NA,NA,NA,NA,NA
"194","Agrobacteriumarsenijevicii",NA,NA,NA,NA,NA,NA,NA,NA
"195","Agrobacteriumcavarae",NA,NA,NA,NA,NA,NA,NA,NA
"196","Agrobacteriumdeltaense",NA,NA,NA,NA,NA,NA,NA,NA
"197","Agrobacteriumfabacearum",NA,NA,NA,NA,NA,NA,NA,NA
"198","Agrobacteriumfabrum",NA,NA,NA,NA,NA,NA,NA,NA
"199","Agrobacteriumpusense",NA,NA,NA,NA,NA,NA,NA,NA
"200","Agrobacteriumrosae",NA,NA,NA,NA,NA,NA,NA,NA
"201","Agrobacteriumrubi",NA,NA,NA,NA,NA,NA,NA,NA
"202","Agrobacteriumsalinitolerans",NA,NA,NA,NA,NA,NA,NA,NA
"203","Akkermansiaglycaniphila",NA,NA,NA,NA,NA,NA,NA,NA
"204","Akkermansiamuciniphila","Obligate anaerobe","Gram-","0",2377,0,NA,NA,NA
"205","AkkermansiamuciniphilaATCCBAA835","Obligate anaerobe","Gram-","Nonmotile",2238,NA,NA,NA,NA
"206","Alcaligenesammonioxydans",NA,NA,NA,NA,NA,NA,NA,NA
"207","Alcaligenesaquatilis",NA,NA,NA,NA,NA,NA,NA,NA
"208","Alcaligenesendophyticus",NA,NA,NA,NA,NA,NA,NA,NA
"209","Alcaligenesfaecalis","Aerobe","Gram-","0",3900,NA,37,NA,2
"210","Algisphaeraagarilytica",NA,NA,NA,NA,NA,NA,NA,NA
"211","Aliarcobacterbutzleri",NA,NA,NA,NA,NA,NA,NA,NA
"212","Aliarcobactercibarius",NA,NA,NA,NA,NA,NA,NA,NA
"213","Aliarcobactercryaerophilus",NA,NA,NA,NA,NA,NA,NA,NA
"214","Aliarcobacterfaecis",NA,NA,NA,NA,NA,NA,NA,NA
"215","Aliarcobacterlanthieri",NA,NA,NA,NA,NA,NA,NA,NA
"216","Aliarcobactervitoriensis",NA,NA,NA,NA,NA,NA,NA,NA
"217","Alicyclobacilluscellulosilyticus",NA,NA,NA,NA,NA,NA,NA,NA
"218","Alicyclobacilluscurvatus",NA,NA,NA,NA,NA,NA,NA,NA
"219","Alicyclobacillusferrooxydans",NA,NA,NA,NA,NA,NA,NA,NA
"220","Alicyclobacillushesperidum",NA,NA,NA,NA,NA,NA,NA,NA
"221","Alicyclobacilluskakegawensis",NA,NA,NA,NA,NA,NA,NA,NA
"222","AlicyclobacillusmaliexRothetal2021",NA,NA,NA,NA,NA,NA,NA,NA
"223","Alicyclobacillusmengziensis",NA,NA,NA,NA,NA,NA,NA,NA
"224","Alicyclobacilluspomorum",NA,NA,NA,NA,NA,NA,NA,NA
"225","AlicyclobacilluspomorumDSM14955",NA,NA,NA,NA,NA,NA,NA,NA
"226","Alicyclobacillussacchari",NA,NA,NA,NA,NA,NA,NA,NA
"227","Alicyclobacillusshizuokensis",NA,NA,NA,NA,NA,NA,NA,NA
"228","Aliidiomarinasoli",NA,NA,NA,NA,NA,NA,NA,NA
"229","Aliidongiadinghuensis",NA,NA,NA,NA,NA,NA,NA,NA
"230","Aliifodinibiusroseus",NA,NA,NA,NA,NA,NA,NA,NA
"231","Aliifodinibiussediminis",NA,NA,NA,NA,NA,NA,NA,NA
"232","Aliikangiellamarina",NA,NA,NA,NA,NA,NA,NA,NA
"233","Alistipescommunis",NA,NA,NA,NA,NA,NA,NA,NA
"234","Alistipesdispar",NA,NA,NA,NA,NA,NA,NA,NA
"235","Alistipesfinegoldii",NA,NA,NA,NA,NA,NA,NA,NA
"236","AlistipesfinegoldiiDSM17242","Obligate anaerobe","Gram-","Nonmotile",3302,NA,NA,NA,NA
"237","AlistipesihumiiAP11","Obligate anaerobe","Gram-","Nonmotile",2346,NA,NA,NA,NA
"238","AlistipesindistinctusYIT12060","Obligate anaerobe","Gram-","Nonmotile",2394,NA,NA,NA,NA
"239","Alistipesinops",NA,NA,NA,NA,NA,NA,NA,NA
"240","Alistipesmegaguti",NA,NA,NA,NA,NA,NA,NA,NA
"241","Alistipesmontrealensis",NA,NA,NA,NA,NA,NA,NA,NA
"242","Alistipesokayasuensis",NA,NA,NA,NA,NA,NA,NA,NA
"243","Alistipesonderdonkii","Obligate anaerobe","Gram-","0",NA,NA,37,NA,1
"244","Alistipesprovencensis","","Gram-","",NA,NA,NA,NA,NA
"245","Alistipesputredinis",NA,NA,NA,NA,NA,NA,NA,NA
"246","AlistipessenegalensisJC50","Obligate anaerobe","Gram-","Nonmotile",3212,NA,NA,NA,NA
"247","Alistipesshahii","Obligate anaerobe","Gram-","0",NA,NA,37,NA,2
"248","AlistipesshahiiWAL8301","Obligate anaerobe","Gram-","Nonmotile",2616,NA,NA,NA,NA
"249","AlistipestimonensisJC136","Obligate anaerobe","Gram-","Nonmotile",2772,NA,NA,NA,NA
"250","Alkalibactermobilis",NA,NA,NA,NA,NA,NA,NA,NA
"251","Alkalibactersaccharofermentans",NA,NA,NA,NA,NA,NA,NA,NA
"252","Alkalibacteriumiburiense",NA,NA,NA,NA,NA,NA,NA,NA
"253","Alkalibacteriumkapii",NA,NA,NA,NA,NA,NA,NA,NA
"254","Alkalibacteriumpsychrotolerans",NA,NA,NA,NA,NA,NA,NA,NA
"255","Alkalibaculumbacchi","Anaerobe","Gram+","0",2947,NA,NA,NA,NA
"256","Alkalibaculumsporogenes",NA,NA,NA,NA,NA,NA,NA,NA
"257","Alkalicaulissatelles",NA,NA,NA,NA,NA,NA,NA,NA
"258","Alkalicellacaledoniensis",NA,NA,NA,NA,NA,NA,NA,NA
"259","Alkalicoccusurumqiensis",NA,NA,NA,NA,NA,NA,NA,NA
"260","Alkaliflexusimshenetskii",NA,NA,NA,NA,NA,NA,NA,NA
"261","Alkalihalobacillusalcalophilus",NA,NA,NA,NA,NA,NA,NA,NA
"262","AlkalihalobacillusalcalophilusATCC27647CGMCC13604",NA,NA,NA,NA,NA,NA,NA,NA
"263","Alkalihalobacillusalkalilacus",NA,NA,NA,NA,NA,NA,NA,NA
"264","Alkalihalobacillusclausii",NA,NA,NA,NA,NA,NA,NA,NA
"265","Alkalihalobacillushunanensis",NA,NA,NA,NA,NA,NA,NA,NA
"266","Alkalihalobacilluslehensis",NA,NA,NA,NA,NA,NA,NA,NA
"267","Alkalihalobacillusmacyae","Obligate anaerobe","Gram+","0",4341,NA,NA,NA,NA
"268","Alkalihalobacillusmiscanthi",NA,NA,NA,NA,NA,NA,NA,NA
"269","Alkalihalobacillusnanhaiisediminis",NA,NA,NA,NA,NA,NA,NA,NA
"270","Alkalihalobacillusokhensis",NA,NA,NA,NA,NA,NA,NA,NA
"271","Alkalihalobacillusoshimensis",NA,NA,NA,NA,NA,NA,NA,NA
"272","Alkalihalobacilluspseudalcaliphilus",NA,NA,NA,NA,NA,NA,NA,NA
"273","Alkalihalobacillusrhizosphaerae",NA,NA,NA,NA,NA,NA,NA,NA
"274","Alkalihalobacillusshacheensis",NA,NA,NA,NA,NA,NA,NA,NA
"275","Alkalihalobacillusxiaoxiensis",NA,NA,NA,NA,NA,NA,NA,NA
"276","Alkalihalophiluspseudofirmus",NA,NA,NA,NA,NA,NA,NA,NA
"277","Alkalilactibacillusikkensis",NA,NA,NA,NA,NA,NA,NA,NA
"278","Alkalimonasamylolytica",NA,NA,NA,NA,NA,NA,NA,NA
"279","Alkalimonasdelamerensis",NA,NA,NA,NA,NA,NA,NA,NA
"280","Alkaliphiluscrotonatoxidans",NA,NA,NA,NA,NA,NA,NA,NA
"281","Alkaliphilushydrothermalis",NA,NA,NA,NA,NA,NA,NA,NA
"282","AlkaliphilusmetalliredigensQYMF",NA,NA,NA,NA,NA,NA,NA,NA
"283","Alkaliphilusnamsaraevii",NA,NA,NA,NA,NA,NA,NA,NA
"284","Alkaliphiluspeptidifermentans",NA,NA,NA,NA,NA,NA,NA,NA
"285","Alkaliphiluspronyensis",NA,NA,NA,NA,NA,NA,NA,NA
"286","Alkaliphilusserpentinus",NA,NA,NA,NA,NA,NA,NA,NA
"287","Alkaliphilustransvaalensis",NA,NA,NA,NA,NA,NA,NA,NA
"288","Allisonellahistaminiformans",NA,NA,NA,NA,NA,NA,NA,NA
"289","Alloalcanivoraxdieselolei",NA,NA,NA,NA,NA,NA,NA,NA
"290","Alloalcanivoraxxenomutans",NA,NA,NA,NA,NA,NA,NA,NA
"291","Allobacillussalarius",NA,NA,NA,NA,NA,NA,NA,NA
"292","AllobaculumstercoricanisDSM13633","Anaerobe","Gram+","0",1853,NA,NA,NA,NA
"293","Allofrancisellafrigidaquae",NA,NA,NA,NA,NA,NA,NA,NA
"294","Allofrancisellaguangzhouensis",NA,NA,NA,NA,NA,NA,NA,NA
"295","Allofrancisellainopinata",NA,NA,NA,NA,NA,NA,NA,NA
"296","Allofustisseminis",NA,NA,NA,NA,NA,NA,NA,NA
"297","Alloiococcusotitis",NA,NA,NA,NA,NA,NA,NA,NA
"298","Alloprevotellarava",NA,NA,NA,NA,NA,NA,NA,NA
"299","Alloprevotellatannerae",NA,NA,NA,NA,NA,NA,NA,NA
"300","Alloscardoviaomnicolens","Anaerobe","Gram+","Nonmotile",1497,NA,37,NA,NA
"301","Allosediminivitapacifica",NA,NA,NA,NA,NA,NA,NA,NA
"302","Alteracholeplasmaparvum",NA,NA,NA,NA,NA,NA,NA,NA
"303","Altericroceibacteriumxinjiangense",NA,NA,NA,NA,NA,NA,NA,NA
"304","Alterileibacteriummassiliense",NA,NA,NA,NA,NA,NA,NA,NA
"305","Amazonocrinisthailandica",NA,NA,NA,NA,NA,NA,NA,NA
"306","Amedibacillusdolichus",NA,NA,NA,NA,NA,NA,NA,NA
"307","AmedibacillusdolichusDSM3991","Anaerobe","Gram+","0",2398,NA,NA,NA,NA
"308","Amedibacteriumintestinale",NA,NA,NA,NA,NA,NA,NA,NA
"309","Aminicellalysinilytica",NA,NA,NA,NA,NA,NA,NA,NA
"310","Aminipilabutyrica",NA,NA,NA,NA,NA,NA,NA,NA
"311","Aminipilaluticellarii",NA,NA,NA,NA,NA,NA,NA,NA
"312","Aminipilaterrae",NA,NA,NA,NA,NA,NA,NA,NA
"313","Aminobacteranthyllidis",NA,NA,NA,NA,NA,NA,NA,NA
"314","Ammoniphilusoxalaticus",NA,NA,NA,NA,NA,NA,NA,NA
"315","Ammoniphilusresinae",NA,NA,NA,NA,NA,NA,NA,NA
"316","Amnibacteriumkyonggiense",NA,NA,NA,NA,NA,NA,NA,NA
"317","Amnibacteriumsetariae",NA,NA,NA,NA,NA,NA,NA,NA
"318","Amnibacteriumsoli",NA,NA,NA,NA,NA,NA,NA,NA
"319","Amniculibacteriumaquaticum",NA,NA,NA,NA,NA,NA,NA,NA
"320","Amphibacillusxylanus",NA,NA,NA,NA,NA,NA,NA,NA
"321","Amycolatopsisantarctica",NA,NA,NA,NA,NA,NA,NA,NA
"322","Amycolatopsishelveola",NA,NA,NA,NA,NA,NA,NA,NA
"323","Amycolatopsistaiwanensis",NA,NA,NA,NA,NA,NA,NA,NA
"324","Amylibactermarinus",NA,NA,NA,NA,NA,NA,NA,NA
"325","Anaerobacillusisosaccharinicus",NA,NA,NA,NA,NA,NA,NA,NA
"326","Anaerobacteriumchartisolvens",NA,NA,NA,NA,NA,NA,NA,NA
"327","Anaerobiospirillumsucciniciproducens",NA,NA,NA,NA,NA,NA,NA,NA
"328","Anaerobiumacetethylicum",NA,NA,NA,NA,NA,NA,NA,NA
"329","Anaerobrancahorikoshii",NA,NA,NA,NA,NA,NA,NA,NA
"330","Anaerobrancazavarzinii",NA,NA,NA,NA,NA,NA,NA,NA
"331","Anaerobutyricumhallii",NA,NA,NA,NA,NA,NA,NA,NA
"332","Anaerobutyricumsoehngenii",NA,NA,NA,NA,NA,NA,NA,NA
"333","Anaerococcusdegeneri",NA,NA,NA,NA,NA,NA,NA,NA
"334","Anaerococcushydrogenalis",NA,NA,NA,NA,NA,NA,NA,NA
"335","Anaerococcusihuae",NA,NA,NA,NA,NA,NA,NA,NA
"336","Anaerococcusjeddahensis","","Gram+","",NA,NA,NA,NA,NA
